黄晓明	20297.52	鹿晗	20032.83	余男	22208	佟丽娅	22304.4	郭敬明	45856.75	管虎	44381.75	王中磊	29135.25
张涵予	21351.49	梁家辉	17215.61	余男	22208	佟丽娅	22304.4	黄欣	32152	徐克	37510.67	施南生	18394.5
陈赫	58816.22	张鲁一	16279.2	杨颖	43979.29	姜瑞佳	16279.2	顾伟	20461.62	顾长卫	20349	王中磊	29135.25
梁家辉	21519.52	李铭顺	3218.88	林志玲	15980.33	蒙亭宜	3218.88	远浍	2874	范建浍	4023.6	王景武	2040.97
姜文	60212.25	葛优	48169.8	周韵	33556	舒淇	34980.4	姜文	30957.33	姜文	60212.25	马珂	30684.79
彭于晏	17637.32	郑恺	22130.59	倪妮	37335.5	张子萱	38626.88	李晗	20693	张一白	16747.79	李明	34552.59
黄宗泽	1114.4	陈伟霆	2537.8	邓丽欣	1966.5	赵荣	478.4	郭建乐	796	钟澍佳	1114.4	杨震华	1114.4
郭晓东	31851.9	秦昊	476.14	梅婷	455	黄璐	364	马英力	195	娄烨	455	耐安	455
佟大为	22268.42	钟汉良	40880.3	周迅	16924	张梓琳	26240.96	曹金玲	8780	郭在容	10862.13	林正豪	20486.67
黄晓明	20297.52	无	0	周迅	16924	隋棠	15245.04	彭浩翔	4933.13	彭浩翔	10377.79	王中磊	29135.25
郑智薰	8185.33	王学兵	14512.27	刘亦菲	11554	唐嫣	26993.48	王九九	3508	高希希	10645.54	穆晓穗	8185.33
陈柏霖	17960.08	鹿晗	20032.83	杨子姗	18490.33	归亚蕾	17473.36	林小革	14323.75	陈正道	15764.97	胡城	19004.13
梁朝伟	5421.5	王庆祥	26807.57	章子怡	7313.4	宋慧乔	4197.36	王家卫	9893.33	王家卫	5421.5	吴思远	5421.5
周星驰	2091.06	元华	17669.4	黄圣依	5791	元秋	5668.91	周星驰	38368.16	周星驰	3111.5	周星驰	3111.5
阮经天	5774.57	杨洋	19822.13	周冬雨	29736.2	杨子姗	14792.29	方令正?	1436	罗卓瑶	3350.67	张昭	3350.67
李治廷	679	吕聿	1084.25	文咏珊	8753.67	杨洋	410.67	丁小洋	399	叶伟民	18960.67	许一顶	931
陈翔	248.5	黄秋生	5742.57	周海媚	248	蔡明	198.8	查慕春	142	查慕春	248.5	刘小鹰	248.5
李晨	52674.77	陈赫	39210.81	杨颖	43979.29	无	0	张一白	23247	胡笳	54243	李亚平	45025.75
萧敬腾	4286.63	凤小岳	20544.91	郭采洁	30363.56	赵丽颖	6708.8	金依萌	3594	金依萌	8386	金依萌	8386
古天乐	13415.13	张翰	3870.07	柳岩	33964.8	吴千语	6708.8	黄子桓	25845.77	黄百鸣	5707.33	黄百鸣	3790.11
郑恺	1681.17	于笑	5525.33	江一燕	10366.17	常方源	5525.28	李欣蔓	2960	李欣蔓	6906.67	王大维	6906.67
吴亦凡	35944.71	张超	11251.33	王丽坤	10976	热依扎	22006.08	王朔	41895.13	徐静蕾	27507.67	焦爱民	27507.67
成龙	60781	阿德里安·布劳迪	48624.8	林鹏	20730	王若心	24404.8	李仁港	34732	李仁港	60781	成龙	30444.17
周润发	36509.29	张家辉	18367.07	刘嘉玲	28767	袁泉	30941.47	王晶	22246.83	王晶	32525.21	于冬	18394.5
陈坤	59125.5	赵文瑄	27986.47	李冰冰	91056.5	杨子姗	14792.29	赵天宇	19814	鲍德熹	34674.5	安晓芬	18164.65
黄磊	11691.5	陆毅	12733.93	黄忆慈	20389	陆雨萱	18023.6	王伟红	36406.33	谢涤葵	41234.08	范娜	41234.08
冯绍峰	16716.93	窦骁	7518.73	昂和妮玛	27531	无	0	让·雅克·阿诺	7923.17	让·雅克·阿诺	27531	王为民	27531
